Entry,ContingentURN,Label,Leader Number,Text Reference
urn:cite:cycle:trojancatships.Apollodorus.1,urn:cite:cycle:trojancontingents.2,Dardanians,4,urn:cts:greekLit:tlg0548.tlg002:3.34
urn:cite:cycle:trojancatships.Apollodorus.2,urn:cite:cycle:trojancontingents.7,Thracians,1,urn:cts:greekLit:tlg0548.tlg002:3.34
urn:cite:cycle:trojancatships.Apollodorus.3,urn:cite:cycle:trojancontingents.8,Cicones,1,urn:cts:greekLit:tlg0548.tlg002:3.34
urn:cite:cycle:trojancatships.Apollodorus.4,urn:cite:cycle:trojancontingents.9,Paeonians,1,urn:cts:greekLit:tlg0548.tlg002:3.34
urn:cite:cycle:trojancatships.Apollodorus.5,urn:cite:cycle:trojancontingents.10,Paphlagonians,1,urn:cts:greekLit:tlg0548.tlg002:3.34
urn:cite:cycle:trojancatships.Apollodorus.6,urn:cite:cycle:trojancontingents.3,Zeleians,1,urn:cts:greekLit:tlg0548.tlg002:3.35
urn:cite:cycle:trojancatships.Apollodorus.7,urn:cite:cycle:trojancontingents.4,Adrasteians,2,urn:cts:greekLit:tlg0548.tlg002:3.35
urn:cite:cycle:trojancatships.Apollodorus.8,urn:cite:cycle:trojancontingents.5,Arisbeans,1,urn:cts:greekLit:tlg0548.tlg002:3.35
urn:cite:cycle:trojancatships.Apollodorus.9,urn:cite:cycle:trojancontingents.6,Pelasgi,1,urn:cts:greekLit:tlg0548.tlg002:3.35
urn:cite:cycle:trojancatships.Apollodorus.10,urn:cite:cycle:trojancontingents.12,Mysians,2,urn:cts:greekLit:tlg0548.tlg002:3.35
urn:cite:cycle:trojancatships.Apollodorus.11,urn:cite:cycle:trojancontingents.11,Halizones,2,urn:cts:greekLit:tlg0548.tlg002:3.35
urn:cite:cycle:trojancatships.Apollodorus.12,urn:cite:cycle:trojancontingents.13,Phrygians,2,urn:cts:greekLit:tlg0548.tlg002:3.35
urn:cite:cycle:trojancatships.Apollodorus.13,urn:cite:cycle:trojancontingents.14,Maeonians,2,urn:cts:greekLit:tlg0548.tlg002:3.35
urn:cite:cycle:trojancatships.Apollodorus.14,urn:cite:cycle:trojancontingents.15,Carians,2,urn:cts:greekLit:tlg0548.tlg002:3.35
urn:cite:cycle:trojancatships.Apollodorus.15,urn:cite:cycle:trojancontingents.16,Lycians,2,urn:cts:greekLit:tlg0548.tlg002:3.35
