Entry,ContingentURN,Label,Leader Number,Text Reference
urn:cite:cycle:trojancatships.Iliad.1,urn:cite:cycle:trojancontingents.1,Trojans,1,urn:cts:greekLit:tlg0012.tlg001:2.816-2.318
urn:cite:cycle:trojancatships.Iliad.2,urn:cite:cycle:trojancontingents.2,Dardanians,3,urn:cts:greekLit:tlg0012.tlg001:2.819-2.823
urn:cite:cycle:trojancatships.Iliad.3,urn:cite:cycle:trojancontingents.3,Zeleians,1,urn:cts:greekLit:tlg0012.tlg001:2.824-2.827
urn:cite:cycle:trojancatships.Iliad.4,urn:cite:cycle:trojancontingents.4,Adrasteians,2,urn:cts:greekLit:tlg0012.tlg001:2.828-2.834
urn:cite:cycle:trojancatships.Iliad.5,urn:cite:cycle:trojancontingents.5,Arisbeans,1,urn:cts:greekLit:tlg0012.tlg001:2.835-2.839
urn:cite:cycle:trojancatships.Iliad.6,urn:cite:cycle:trojancontingents.6,Pelasgi,2,urn:cts:greekLit:tlg0012.tlg001:2.844-2.845
urn:cite:cycle:trojancatships.Iliad.7,urn:cite:cycle:trojancontingents.7,Thracians,2,urn:cts:greekLit:tlg0012.tlg001:2.
urn:cite:cycle:trojancatships.Iliad.8,urn:cite:cycle:trojancontingents.8,Ciconian,1,urn:cts:greekLit:tlg0012.tlg001:2.
urn:cite:cycle:trojancatships.Iliad.9,urn:cite:cycle:trojancontingents.9,Paeonians,1,urn:cts:greekLit:tlg0012.tlg001:2.
urn:cite:cycle:trojancatships.Iliad.10,urn:cite:cycle:trojancontingents.10,Paphlagonians,1,urn:cts:greekLit:tlg0012.tlg001:2.
urn:cite:cycle:trojancatships.Iliad.11,urn:cite:cycle:trojancontingents.11,Halizones,2,urn:cts:greekLit:tlg0012.tlg001:2.
urn:cite:cycle:trojancatships.Iliad.12,urn:cite:cycle:trojancontingents.12,Mysians,2,urn:cts:greekLit:tlg0012.tlg001:2.
urn:cite:cycle:trojancatships.Iliad.13,urn:cite:cycle:trojancontingents.13,Phrygians,2,urn:cts:greekLit:tlg0012.tlg001:2.
urn:cite:cycle:trojancatships.Iliad.14,urn:cite:cycle:trojancontingents.14,Maeonians,2,urn:cts:greekLit:tlg0012.tlg001:2.
urn:cite:cycle:trojancatships.Iliad.15,urn:cite:cycle:trojancontingents.15,Carians,2,urn:cts:greekLit:tlg0012.tlg001:2.
urn:cite:cycle:trojancatships.Iliad.16,urn:cite:cycle:trojancontingents.16,Lycians,2,urn:cts:greekLit:tlg0012.tlg001:2.
