Entry,Contingent,Leader Number,Ship Number,Text Reference
urn:cite:hmt:catships.Tzetzes.1,Mycenaeans,1,100,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.512
urn:cite:hmt:catships.Tzetzes.2,Lacedaemonians,1,60,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.514
urn:cite:hmt:catships.Tzetzes.3,Pylians,1,90,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.516
urn:cite:hmt:catships.Tzetzes.4,Myrmidons,1,50,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.520
urn:cite:hmt:catships.Tzetzes.5,Salaminians,1,12,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.526
urn:cite:hmt:catships.Tzetzes.6,Boeotians,5,50,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.528
urn:cite:hmt:catships.Tzetzes.7,Orchomenians,2,30,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.536
urn:cite:hmt:catships.Tzetzes.8,Phocians,2,40,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.540
urn:cite:hmt:catships.Tzetzes.9,Locrians,1,40,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.543
urn:cite:hmt:catships.Tzetzes.10,Euboeans,3,40,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.547
urn:cite:hmt:catships.Tzetzes.11,Athenians,1,50,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.554
urn:cite:hmt:catships.Tzetzes.12,Argives,3,80,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.557
urn:cite:hmt:catships.Tzetzes.13,Arcadians,1,60,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.564
urn:cite:hmt:catships.Tzetzes.14,Eleans,4,40,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.567
urn:cite:hmt:catships.Tzetzes.15,Dulichians,2,40,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.576
urn:cite:hmt:catships.Tzetzes.16,Cephallenians,1,12,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.581
urn:cite:hmt:catships.Tzetzes.17,Aetolians,1,40,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.583
urn:cite:hmt:catships.Tzetzes.18,Cretans,1,80,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.585
urn:cite:hmt:catships.Tzetzes.19,Rhodians,1,9,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.590
urn:cite:hmt:catships.Tzetzes.20,Symaeans,1,3,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.592
urn:cite:hmt:catships.Tzetzes.21,Coans,2,30,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.596
urn:cite:hmt:catships.Tzetzes.22,Phylace,2,40,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.600
urn:cite:hmt:catships.Tzetzes.23,Pheraeans,1,11,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena606
urn:cite:hmt:catships.Tzetzes.24,Olizonians,2,7,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.609
urn:cite:hmt:catships.Tzetzes.25,Triccaeans,2,31,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.614
urn:cite:hmt:catships.Tzetzes.26,Ormenians,1,40,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.619
urn:cite:hmt:catships.Tzetzes.27,Gyrtonians,2,40,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.623
urn:cite:hmt:catships.Tzetzes.28,Perrhaebi,1,22,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.630
urn:cite:hmt:catships.Tzetzes.29,Magnesians,1,40,urn:cts:greekLit:tlg9022.hmt01.bnf2705:prolegomena.633
