Episode,Label,Epic
urn:cite:cycle:hypothesis.1,"Wedding of Peleus and Thetis. Judgment of Paris",Cypria
urn:cite:cycle:hypothesis.2,"Paris at Sparta",Cypria
urn:cite:cycle:hypothesis.3,"Paris and Helen stop in Egypt and Phoenicia",Cypria
urn:cite:cycle:hypothesis.4,"Greeks gather at Aulis",Cypria
urn:cite:cycle:hypothesis.5,"Philoctetes is abandoned on Lemnos",Cypria
urn:cite:cycle:hypothesis.6,"Protesilaus dies, initial Greek victory",Cypria
urn:cite:cycle:hypothesis.7,"Embassy of Menelaus and Odysseus",Cypria
urn:cite:cycle:hypothesis.8,"Conflict between Achilles and Aeneas",Cypria
urn:cite:cycle:hypothesis.9,"Death of Troilus",Cypria
urn:cite:cycle:hypothesis.10,"Allotment of Brises and Chryseis",Cypria
