Image,Caption,Rights
urn:cite:cycle:image.Capitoline-1,"Capitoline Tabula default image","RIGHTS"
urn:cite:cycle:image.Capitoline-2,"Capitoline Tabula text focus top","RIGHTS"
urn:cite:cycle:image.Capitoline-3,"Capitoline Tabula text focus middle","RIGHTS"
urn:cite:cycle:image.Capitoline-4,"Capitoline Tabula text foucs middle 2","RIGHTS"
urn:cite:cycle:image.Capitoline-5,"Capitoline Tabula text focus bottom","RIGHTS"
urn:cite:cycle:image.Capitoline-6,"Capitoline Tabula text focus bottom 2","RIGHTS"
urn:cite:cycle:image.Capitoline-7,"Capitoline Tabula bottom left full","RIGHTS"
urn:cite:cycle:image.Capitoline-8,"Capitoline Tabula bottom left partial","RIGHTS"
urn:cite:cycle:image.Capitoline-9,"Capitoline Tabula top right","RIGHTS"
urn:cite:cycle:image.Capitoline-10,"Capitoline Tabula bottom right","RIGHTS"
urn:cite:cycle:image.Capitoline-11,"Capitoline Tabula top left","RIGHTS"
urn:cite:cycle:image.Capitoline-12,"Capitoline Tabula top left 2","RIGHTS"
urn:cite:cycle:image.Capitoline-13,"Capitoline Tabula top left 3","RIGHTS"
urn:cite:cycle:image.Capitoline-14,"Capitoline Tabula top middle","RIGHTS"
urn:cite:cycle:image.Capitoline-15,"Capitoline Tabula full image","RIGHTS"
urn:cite:cycle:image.Capitoline-16,"Capitoline Tabula full image focus","RIGHTS"
