Image,Caption,Rights
urn:cite:bnf:gr2706img.bnf2706_img09,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 1 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img10,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 1 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img11,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 1 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img12,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 1 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img13,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 2 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img14,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 2 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img15,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 3 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img16,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 3 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img17,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 4 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img18,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 4 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img19,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 5 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img20,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 5 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img21,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 6 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img22,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 6 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img23,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 7 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img24,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 7 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img25,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 8 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img26,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 8 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img27,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 9 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img28,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 9 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img29,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 10 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img30,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 10 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img31,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 11 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img32,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 11 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img33,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 12 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img34,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 12 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img35,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 13 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img36,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 13 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img37,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 14 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img38,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 14 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img39,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 15 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img40,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 15 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img41,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 16 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img42,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 16 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img43,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 17 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img44,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 17 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img45,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 18 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img46,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 18 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img47,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 19 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img48,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 19 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img49,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 20 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img50,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 20 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img51,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 21 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img52,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 21 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img53,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 22 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img54,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 22 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img55,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 23 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img56,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 23 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img57,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 24 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img58,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 24 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img59,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 25 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img60,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 25 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img61,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 26 recto","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
urn:cite:bnf:gr2706img.bnf2706_img62,"Bibliothèque nationale de France, Département des manuscrits, Grec 2706, folio 26 verso","Public domain material licensed for free non-commercial use in accordance with the French law 78-753 of July 17, 1978."
