Episode,Label,Epic
urn:cite:cycle:proclus.1,"Plan of Zeus, Wedding and Eris, Judgment of Paris",Cypria
urn:cite:cycle:proclus.2,"Paris comes to the Tyndarids",Cypria
urn:cite:cycle:proclus.3,"Paris arrives at Sparta",Cypria
urn:cite:cycle:proclus.4,"Paris and Helen return to Troy, death of Castor",Cypria
urn:cite:cycle:proclus.5,"Menelaus visits Agamemnon and Nestor",Cypria
urn:cite:cycle:proclus.6,"The madness of Odysseus",Cypria
urn:cite:cycle:proclus.7,"Greeks arrive at Aulis",Cypria
urn:cite:cycle:proclus.8,"Greeks attack Telephus, Achilles at Scyros",Cypria
urn:cite:cycle:proclus.9,"Telephus guides the Greeks, Iphigeneia",Cypria
urn:cite:cycle:proclus.10,"Philoctetes is left on Lemnos",Cypria
urn:cite:cycle:proclus.11,"Landing at Troy, Hector kills Protesilaus",Cypria
urn:cite:cycle:proclus.12,"Achilles kills Cycnus, embassy to Troy, siege",Cypria
urn:cite:cycle:proclus.13,"Greeks pillage the country side",Cypria
urn:cite:cycle:proclus.14,"Achilles meets Helen, more pillaging and fighting",Cypria
urn:cite:cycle:proclus.15,"Death of Palamedes, Zeus' plan",Cypria
urn:cite:cycle:proclus.16,"Achilles kills Penthesilea, then Thersites",Aethiopis
urn:cite:cycle:proclus.17,"Memnon arrives and kills Antilochus",Aethiopis
urn:cite:cycle:proclus.18,"Achilles kills Memnon, Paris and Apollo kill Achilles",Aethiopis
urn:cite:cycle:proclus.19,"Burial of Achilles and Antilochus, lament of Thetis and the Muses",Aethiopis
urn:cite:cycle:proclus.20,"Achilles moved to the White Island, dispute over his armor",Aethiopis
urn:cite:cycle:proclus.21,"The dispute over Achilles armor is settled",Little Iliad
urn:cite:cycle:proclus.22,"Philoctetes kills Paris",Little Iliad
urn:cite:cycle:proclus.23,"Neoptolemos kills Eurypylus",Little Iliad
urn:cite:cycle:proclus.24,"Odysseus and Diomedes steal the Palladion",Little Iliad
urn:cite:cycle:proclus.25,"The Trojans being the Horse into the citadel",Little Iliad
urn:cite:cycle:proclus.26,"Death and allotment of war prizes",
urn:cite:cycle:proclus.27,"Athena plots the demise of Ajax and the Greeks",Nostoi
urn:cite:cycle:proclus.28,"The nostoi of Menelaus, and Nestor and Diomedes",Nostoi
urn:cite:cycle:proclus.29,"The nostos of Calchas",Nostoi
urn:cite:cycle:proclus.30,"The nostos of Agamemnon",Nostoi
urn:cite:cycle:proclus.31,"The nostos/death of Oilean Ajax",Nostoi
urn:cite:cycle:proclus.32,"The nostos of Neoptolemos",Nostoi
urn:cite:cycle:proclus.33,"Orestes and Pylades avenge Agamemnon",Nostoi
urn:cite:cycle:proclus.34,"The suitors are buried",Telegonia
urn:cite:cycle:proclus.35,"Odysseus preforms the sacrifices named by Teiresias",Telegonia
urn:cite:cycle:proclus.36,"Odysseus marries Callidice",Telegonia
urn:cite:cycle:proclus.37,"War between the Thesprotians and the Bryges",Telegonia
urn:cite:cycle:proclus.38,"Telegonus kills Odysseus, double wedding",Telegonia
