Tabula,Label,Jahn
urn:cite:cycle:tabulae.1A,"Capitolina",A
urn:cite:cycle:tabulae.2NY,"New York",
urn:cite:cycle:tabulae.3C,"Veronensis 1",C
urn:cite:cycle:tabulae.4N,"Shield of Achilles (red stone)",
urn:cite:cycle:tabulae.5O,"Shield of Achilles (calcite)",
urn:cite:cycle:tabulae.6B,"Sarti",B
urn:cite:cycle:tabulae.7Ti,"Thierry (lost)",
urn:cite:cycle:tabulae.8E,"Zenodotus",
urn:cite:cycle:tabulae.9D,"Veronensis 2",D
urn:cite:cycle:tabulae.10K,"Borgia",K
urn:cite:cycle:tabulae.11H,"Randanini",H
urn:cite:cycle:tabulae.12F,"Ransom of Hector (yellow marble)",
urn:cite:cycle:tabulae.13Ta,"Tarentina",
urn:cite:cycle:tabulae.14G,"Homer",
urn:cite:cycle:tabulae.15Ber,"Dressel",G
urn:cite:cycle:tabulae.16Sa,"Tomassetti (Odysseaca)",
urn:cite:cycle:tabulae.17M,"Chigi (lost)",M
urn:cite:cycle:tabulae.18L,"Roman Chronicle 1",
urn:cite:cycle:tabulae.19J,"Albani",J
urn:cite:cycle:tabulae.20Par,"Froehner",
urn:cite:cycle:tabulae.21Fro,"Lytra",
urn:cite:cycle:tabulae.22VP,"Roman Chronicle 2",
urn:cite:cycle:tabulae.23Ky,"Cumae",

