Text,Folio
Cypria.1,urn:cite:hmt:me4.?
Cypria.2,urn:cite:hmt:me4.?
Cypria.3,urn:cite:hmt:me4.?
Cypria.4,urn:cite:hmt:me4.?
Cypria.5,urn:cite:hmt:me4.?
Cypria.6,urn:cite:hmt:me4.?
Cypria.7,urn:cite:hmt:me4.?
Cypria.8,urn:cite:hmt:me4.?
Cypria.9,urn:cite:hmt:me4.?
Cypria.10,urn:cite:hmt:me4.?
Cypria.11,urn:cite:hmt:me4.?
Cypria.12,urn:cite:hmt:me4.?
Cypria.13,urn:cite:hmt:me4.?
Cypria.13,urn:cite:hmt:me4.2?
Cypria.14,urn:cite:hmt:me4.2?
Cypria.15,urn:cite:hmt:me4.2?
Cypria.16,urn:cite:hmt:me4.2?
Cypria.17,urn:cite:hmt:me4.2?
Cypria.18,urn:cite:hmt:me4.2?
Cypria.19,urn:cite:hmt:me4.2?
Cypria.20,urn:cite:hmt:me4.2?
Cypria.21,urn:cite:hmt:me4.2?
Cypria.22,urn:cite:hmt:me4.2?
Cypria.23,urn:cite:hmt:me4.2?
Cypria.24,urn:cite:hmt:me4.2?
Cypria.25,urn:cite:hmt:me4.2?
Cypria.26,urn:cite:hmt:me4.2?
