Text,Stone
urn:cite:cycle:tabulae.contents.1,urn:cite:cycle:tabulae.1A
urn:cite:cycle:tabulae.contents.2,urn:cite:cycle:tabulae.1A
urn:cite:cycle:tabulae.contents.3,urn:cite:cycle:tabulae.1A
urn:cite:cycle:tabulae.contents.4,urn:cite:cycle:tabulae.1A
urn:cite:cycle:tabulae.contents.5,urn:cite:cycle:tabulae.1A
urn:cite:cycle:tabulae.contents.6,urn:cite:cycle:tabulae.1A
urn:cite:cycle:tabulae.contents.7,urn:cite:cycle:tabulae.1A
urn:cite:cycle:tabulae.contents.8,urn:cite:cycle:tabulae.1A
urn:cite:cycle:tabulae.contents.9,urn:cite:cycle:tabulae.1A
urn:cite:cycle:tabulae.contents.10,urn:cite:cycle:tabulae.1A
