Text,Image
urn:cite:cycle:tabulae.contents.1,"urn:cite:hmt:capimgs.Capitoline_1@0.273,0.536,0.113,0.0333"
urn:cite:cycle:tabulae.contents.2,"urn:cite:hmt:capimgs.Capitoline_1@0.279,0.556,0.131,0.0333"
urn:cite:cycle:tabulae.contents.3,"urn:cite:hmt:capimgs.Capitoline_1@0.279,0.5867,0.131,0.0333"
urn:cite:cycle:tabulae.contents.4,"urn:cite:hmt:capimgs.Capitoline_1@0.27,0.7,0.068,0.0293"
urn:cite:cycle:tabulae.contents.5,"urn:cite:hmt:capimgs.Capitoline_1@0.231,0.7213,0.15,0.0293"
urn:cite:cycle:tabulae.contents.6,"urn:cite:hmt:capimgs.Capitoline_1@0.185,0.7373,0.201,0.032"
urn:cite:cycle:tabulae.contents.7,"urn:cite:hmt:capimgs.Capitoline_1@0.201,0.7573,0.178,0.024"
urn:cite:cycle:tabulae.contents.8,"urn:cite:hmt:capimgs.Capitoline_1@0.19,0.7693,0.181,0.0307"
urn:cite:cycle:tabulae.contents.9,"urn:cite:hmt:capimgs.Capitoline_1@0.2,0.7947,0.189,0.0187"
urn:cite:cycle:tabulae.contents.10,"urn:cite:hmt:capimgs.Capitoline_1@0.177,0.8053,0.19,0.032"
